Pathway or Process	XD-score	q-value	Overlap/Size
Olfactory transduction	 0.00000	 1.00000	   0/25
Other glycan degradation	 0.00000	 1.00000	   0/10
Pyruvate metabolism	 0.00000	 1.00000	   0/26
Protein export	 0.00000	 1.00000	   0/17
Prion diseases	 0.00000	 1.00000	   0/35
Biosynthesis of unsaturated fatty acids	 0.00000	 1.00000	   0/11
Proximal tubule bicarbonate reclamation	 0.00000	 1.00000	   0/18
Glycine, serine and threonine metabolism	 0.00000	 1.00000	   0/18
Taste transduction	 0.00000	 1.00000	   0/22
Ribosome	 0.00000	 1.00000	   0/77
O-Glycan biosynthesis	 0.00000	 1.00000	   0/12
Nitrogen metabolism	 0.00000	 1.00000	   0/14
Arginine and proline metabolism	 0.00000	 1.00000	   0/37
Tyrosine metabolism	 0.00000	 1.00000	   0/17
Butanoate metabolism	 0.00000	 1.00000	   0/14
Glutathione metabolism	 0.00000	 1.00000	   0/26
Renin-angiotensin system	 0.00000	 1.00000	   0/16
Hedgehog signaling pathway	 0.00000	 1.00000	   0/44
Alanine, aspartate and glutamate metabolism	 0.00000	 1.00000	   0/21
Type II diabetes mellitus	 0.00000	 1.00000	   0/43
Phototransduction	 0.00000	 1.00000	   0/22
Malaria	 0.00000	 1.00000	   0/42
Hematopoietic cell lineage	 0.00000	 1.00000	   0/80
Circadian rhythm - mammal	 0.00000	 1.00000	   0/21
Citrate cycle (TCA cycle)	 0.00000	 1.00000	   0/26
Dorso-ventral axis formation	 0.00000	 1.00000	   0/20
Propanoate metabolism	 0.00000	 1.00000	   0/19
Maturity onset diabetes of the young	 0.00000	 1.00000	   0/19
beta-Alanine metabolism	 0.00000	 1.00000	   0/15
Fructose and mannose metabolism	 0.00000	 1.00000	   0/29
Pentose phosphate pathway	 0.00000	 1.00000	   0/20
Galactose metabolism	 0.00000	 1.00000	   0/17
Aldosterone-regulated sodium reabsorption	 0.00000	 1.00000	   0/38
Riboflavin metabolism	 0.00000	 1.00000	   0/11
